English	Dutch	Spanish	Item	Cognate.Spanish.English	Cognate.Spanish.Dutch	Cognate.Dutch.English	Compound.Dutch	Compound.Spanish	Compound.English	Picture	Audio_Spanish	Stem_Eng	Stem_Dutch	Stem_Spa	Eng_Acc	Dutch_Acc	Final 	FreqNLCelexLog	FreqNLCelexMl	FreqENGCelexMl	FreqSubtlexNLLg	FreqSubtlexENGLg	Condition	Syllable_Spa
scissors	schaar	tijeras	1	non-cognate	non-cognate	non-cognate	0	0	0	scissors.png	tijeras.wav	sci	sch 	ti	0,8	1	0	0,8451	7	2	2,4456	3,92	3	3
panties	onderbroek	braga	1	non-cognate	non-cognate	non-cognate		0	0	panties.png	braga.wav	pan	on	bra	#N/A	#N/A	0	0,9031	8	0	2,5159	2,7	3	2
crutch	krukken	muleta	1	non-cognate	non-cognate	non-cognate		0	0	crutch.png	muleta.wav	c	kruk	mul	#N/A	#N/A	0	0,9542	9	1	2,0531	2,72	3	3
spider	spin	araña	1	non-cognate	non-cognate	non-cognate	0	0	0	spider.png	araña.wav	spi	s	a	0,975	0,975	0	0,9542	9	2	2,534	4,24	3	3
monkey	aap	mono	1	non-cognate	non-cognate	non-cognate	0	0	0	monkey.png	mono.wav	mon	a	mo	0,916666667	0,972222222	0	1,301	20	7	3,0969	4,38	3	2
screen	scherm	pantalla	0	non-cognate	non-cognate	non-cognate		0	0	screen.png	pantalla.wav	s	sch	pan	#N/A	#N/A	0	1,301	20	30	2,7774	4,61	3	3
grapes	druiven	uvas	1	non-cognate	non-cognate	non-cognate	0	0	0	grapes.png	uvas.wav	g	drui	u	0,775	0,975	0	1,716	52	1	3,5947	3,15	3	2
lettuce	sla 	lechuga	1	non-cognate	non-cognate	non-cognate		0	0	lettuce.png	lechuga.wav	let	s	le	#N/A	#N/A	0	1,716	52	1	3,5947	3,15	3	3
ear 	oor 	oreja	1	non-cognate	non-cognate	non-cognate		0	0	ear .png	oreja.wav	e	o	o	#N/A	#N/A	0	1,716	52	1	3,5947	3,15	3	3
garbage	afval	basura	0	non-cognate	non-cognate	non-cognate		0	0	garbage.png	basura.wav	gar	af	ba	#N/A	#N/A	0	11,139	13	2	2,7364	3,45	3	3
scar	litteken	cicatriz	0	non-cognate	non-cognate	non-cognate		0	0	scar.png	cicatriz.wav	s	lit	ci	#N/A	#N/A	0	11,461	14	1	2,6335	3,6	3	3
sailor	zeeman	marinero	1	non-cognate	non-cognate	non-cognate		0	0	sailor.png	marinero.wav	sai	zee	ma	#N/A	#N/A	0	11,461	14	3	2,3424	3,75	3	4
nipple	tepel	pezón	1	non-cognate	non-cognate	non-cognate		0	0	nipple.png	pezón.wav	nip	te	pe	#N/A	#N/A	0	12,041	16	0	1,9494	3,07	3	2
needle	naald	aguja	1	non-cognate	non-cognate	non-cognate	0	0	0	needle.png	aguja.wav	nee	n	ag	0,75	0,975	0	12,041	16	4	2,5717	3,93	3	3
lid	deksel	tapa	3	non-cognate	non-cognate	non-cognate	0	0	0	lid.png	tapa.wav	l	dek	ta			0	12,553	18	1	2,0682	4,16	3	2
pigeon	duif	paloma	1	non-cognate	non-cognate	non-cognate	0	0	0	pigeon.png	paloma.wav	pi	d	pa	#N/A	0,975	0	12,788	19	9	2,3711	4,03	3	3
gift	cadeau	regalo	1	non-cognate	non-cognate	non-cognate		0	0	gift.png	regalo.wav	g	ca	re	#N/A	#N/A	0	13,424	22	20	3,1079	4,44	3	3
snake	slang	serpiente	1	non-cognate	non-cognate	non-cognate	0	0	0	snake.png	serpiente.wav	s	s	ser	#N/A	#N/A	0	14,314	27	9	2,9754	4,36	3	3
fence	hek	alambrada	3	non-cognate	non-cognate	non-cognate	0	0	0	fence.png	alambrada.wav	fen	h	a			0	14,914	31	10	2,9987	4,31	3	4
glasses	bril	gafas	0	non-cognate	non-cognate	non-cognate	0	0	0	glasses.png	gafas.wav	glas	b	ga	0,975	1	0	15,563	36	7	3,0302	4,37	3	2
fist	vuist	puño	0	non-cognate	non-cognate	non-cognate		0	0	fist.png	puño.wav	f	v	pun	#N/A	#N/A	0	15,682	37	4	2,4728	3,68	3	2
purse	tas	bolso	0	non-cognate	non-cognate	non-cognate	0	0	0	purse.png	bolso.wav	p	t	bol	0,3	0,8	0	15,798	38	5	3,4071	3,92	3	2
dress	jurk	vestido	0	non-cognate	non-cognate	non-cognate	0	0	0	dress.png	vestido.wav	d	j	ves	1	1	0	16,232	42	27	3,3872	4,85	3	3
wardrobe	kast	armario	3	non-cognate	non-cognate	non-cognate	0	0	1	wardrobe.png	armario.wav	w	k	ar			0	16,812	48	3	3,1189	4,1	3	4
key	sleutel	llave	0	non-cognate	non-cognate	non-cognate	0	0	0	key.png	llave.wav	k	sleu	lla	1	1	0	16,902	49	38	3,5478	5,07	3	2
coat	jas	abrigo	0	non-cognate	non-cognate	non-cognate	0	0	0	coat.png	abrigo.wav	c	j	a	0,65	0,95	0	16,902	49	16	3,3233	4,41	3	3
beach	strand	playa	0	non-cognate	non-cognate	non-cognate		0	0	beach.png	playa.wav	b	s	pla	#N/A	#N/A	0	17,076	51	19	3,2448	4,72	3	2
mirror	spiegel	espejo	0	non-cognate	non-cognate	non-cognate	0	0	0	mirror.png	espejo.wav	mir	spie	es	1	1	0	17,076	51	18	3,0795	4,45	3	3
branch	tak	rama	3	non-cognate	non-cognate	non-cognate	0	0	0	branch.png	rama.wav	b	t	ra			0	17,324	54	30	2,5705	4,1	3	2
suit	pak	traje	0	non-cognate	non-cognate	non-cognate	0	0	0	suit.png	traje.wav	s	p	tra	0,925	0,95	0	17,853	61	24	4,1366	4,59	3	2
egg	ei	huevo	0	non-cognate	non-cognate	non-cognate	0	0	0	egg.png	huevo.wav	e	e	hue	1	1	0	18,261	67	57	2,8506	4,8	3	2
